text,options,type,answer,score,explanation,註解
下列胞器，何者是由兩層膜組成？,A.粒線體 B.溶酶體 C.過氧化體 D.核糖體,單選,A. 粒線體,2,【解答】A 【出處】細胞 【解析】粒線體與細胞核皆為兩層膜之胞器。,113基礎醫學
單一肌節（sarcomere）的範圍，下列定義何者最正確？,A.相鄰粗肌絲的長度總和 B.相鄰細肌絲的長度總和 C.相鄰粗肌絲加上細肌絲的長度總和 D.相鄰Z線間的距離,單選,D. 相鄰Z線間的距離,2,【解答】D 【出處】肌肉 【解析】肌節為兩Z線間的距離。,113基礎醫學
下列何者為控制反射動作的反射弧（reflex arc）之最終端構造？,A.感覺神經元（sensory neuron） B.運動神經元（motor neuron） C.受器（receptor） D.動器（effector）,單選,D. 動器（effector）,2,【解答】D 【出處】神經系統 【解析】反射動作最後由動作器(effector）， 如肌肉、腺體，來完成反射動作。,113基礎醫學
帕金森氏症（Parkinson's disease）的顫抖症狀肇因為何？,A.腦內缺乏多巴胺（dopamine deficiency） B.腦內多巴胺過高（dopamine excess） C.腦內缺乏血清素（serotonin deficiency） D.腦內血清素過高（serotonin excess）,單選,A. 腦內缺乏多巴胺（dopamine deficiency）,2,【解答】A 【出處】神經系統 【解析】中腦黑質分泌的 dopamine 太少時，可導 致巴金森氏症。,113基礎醫學
下列何者最可能促進生長激素（growth hormone）分泌？,A.高血糖（hyperglycemia） B.高強度運動（high intensity exercise） C.體抑素（somatostatin）分泌增加 D.類胰島素生長因子1（IGF-1）分泌增加,單選,B. 高強度運動（high intensity exercise）,2,【解答】B 【出處】內分泌系統 【解析】運動、NREM 睡眠及高蛋白質食物，均 能促進生長激素分泌。,113基礎醫學
科林菲特氏症（Klinefelter's syndrome）患者的白血球細胞核旁，最多可以看到幾個巴氏體（barr body）？,A.0 B.1 C.2 D.3,單選,B. 1,2,【解答】B 【出處】生殖系統 你必天 【解析】當人類具有兩條X染色體時，有時為了 防止X染色體過度表現，而將其中一條X染色體 關閉，並形成巴氏體。而柯林菲特氏症是具有47 條染色體的性染色體疾病，其特徵為 XXY。因有 2個X染色體，所以會有一個巴氏體。,113基礎醫學
下列何者最可能同時降低動脈血壓波振幅（arterial pulse wave）與動脈血壓波速度（pulse wave velocity）？,A.粥狀動脈硬化 B.動脈老化 C.高血壓 D.低血壓,單選,D. 低血壓,2,【解答】D 【出處】循環系統 不克 【解析】A、B選項均會使血管阻力上升、血壓上 升，故與 B項均會使血壓波振幅與速度上升。 唯有低血壓才會有振幅與波速均下降。,113基礎醫學
在沒有抗利尿激素（antidiuretic hormone）介入的情況下，下列何處對鈉離子的再吸收（reabsorption） 最多？,A.近曲小管（proximal convoluted tubule） B.遠曲小管（distal convoluted tubule） C.亨利氏管上行枝（ascending limb of loop of Henle） D.亨利氏管下行枝（descending limb of loop of Henle）,單選,A. 近曲小管（proximal convoluted tubule）,2,【解答】A 【出處】泌尿系統 三及𥮳 【解析】不論 ADH 是否有分泌，水的再吸收再近 曲小管高達70%左右。,113基礎醫學
正常吸氣的過程中，不會出現下列何種情況？,A.橫膈肌（diaphragm）收縮下移 B.肺泡壓（alveolar pressure）增加 C.胸膜內壓（intrapleural pressure）降低 D.肺間壓（transpulmonary pressure）增加,單選,B. 肺泡壓（alveolar pressure）增加,2,【解答】B 【出處】呼吸系統 【解析】吸氣時肺內壓下降，且比大氣壓還小， 所以空氣會進入肺中，故B錯。,113基礎醫學
調節消化道平滑肌收縮，最主要的離子為下列何者？,A.鈣離子 B.鈉離子 C.鉀離子 D.氯離子,單選,A. 鈣離子,2,【解答】A 【出處】肌肉系統 【解析】 任何肌肉都需要 Ca^2+才能收縮，故應選A,113基礎醫學
下列那一種細胞分泌激素的主要功能，與副甲狀腺素（parathyroid hormone）的作用相反？,A.甲狀腺的濾泡細胞（follicular cell of thyroid gland） B.甲狀腺的濾泡旁細胞（parafollicular cell of thyroid gland） C.腎上腺的束狀區細胞（zona fasciculata of adrenal gland） D.腎上腺的網狀區細胞（zona reticularis of adrenal gland）,單選,B. 甲狀腺的濾泡旁細胞（parafollicular cell of thyroid gland）,2,【解答】B 【出處】內分泌 【解析】副甲狀腺素可使血上 Ca升，而甲狀腺 的濾泡旁細胞分泌降鈣素，則使血 Ca下降。,113基礎醫學
組成踝關節（ankle joint）的骨骼，除脛骨、腓骨之外還包括：,A.跟骨（calcaneus） B.蹠骨（metatarsal bone） C.骰骨（cuboid） D.距骨（talus）,單選,D. 距骨（talus）,2,【解答】D 【出處】骨骼系統 【解析】踝關節由脛骨、腓骨及距骨組成。,113基礎醫學
下列何者兼具屈曲和伸展肩關節的功能？,A.胸大肌 B.三角肌 C.斜方肌 D.棘上肌,單選,B. 三角肌,2,【解答】B 【出處】肌肉 【解析】三角肌可屈曲及外展肩關節,113基礎醫學
